puntaje_nps,comentario,fecha,canal
10,"Excelente servicio, resolvieron mi consulta en minutos.",2026-08-01,Web
9,"La nueva versión es muy intuitiva y rápida.",2026-08-02,App
2,"Me cobraron dos veces y nadie responde.",2026-08-03,Email
6,"Cumple con lo básico, pero faltan integraciones.",2026-08-04,Web
8,"Buen producto, aunque el registro fue confuso.",2026-08-05,App
0,"Esto es inaceptable, llevo una semana esperando el reembolso.",2026-08-06,Teléfono
7,"La entrega llegó a tiempo, sin nada especial.",2026-08-07,Tienda
10,"¡Me encanta! El equipo de soporte fue fantástico.",2026-08-08,Chat
4,"Estoy frustrado porque el error sigue apareciendo.",2026-08-09,App
9,"Muy buena atención y explicación clara de la factura.",2026-08-10,Email
5,"No entiendo cómo cambiar mi plan.",2026-08-11,Web
10,"Todo perfecto, lo recomendaría sin dudar.",2026-08-12,App
